key	target	prop	english	zh-CN
Ui_TitleBar_Eyebrow	MainWindow.xaml	Text	CONTROL CENTER	控制中心
Ui_Sidebar_Eyebrow	MainWindow.xaml	Text	CAPTURE TOOLS	采集工具
Ui_Nav_Dashboard	MainWindow.xaml	Text	Dashboard	仪表盘
Ui_Nav_Overscan	MainWindow.xaml	Text	Overscan	过扫描
Ui_Nav_Smoothing	MainWindow.xaml	Text	Camera smoothing	相机平滑
Ui_Nav_QuadLayers	MainWindow.xaml	Text	UI layers	UI 层
Ui_Nav_Installation	MainWindow.xaml	Text	Installation	安装
Ui_Nav_Diagnostics	MainWindow.xaml	Text	Diagnostics	诊断
Ui_VrRestart_Title	MainWindow.xaml	Text	RESTART VR APP	重启 VR 应用
Ui_VrRestart_Reason	MainWindow.xaml	Text	Restart the running VR app to apply the change.	重启正在运行的 VR 应用以应用此更改。
Ui_Dashboard_Eyebrow	MainWindow.xaml	Text	SYSTEM OVERVIEW	系统总览
Ui_Dashboard_Title	MainWindow.xaml	Text	Ready for the next capture.	已就绪，可开始下一次采集。
Ui_Dashboard_Subtitle	MainWindow.xaml	Text	Live status for the OpenXR layer, OpenXR/OpenVR OBS sources, runtime, and recording overscan.	OpenXR 层、OpenXR/OpenVR OBS 源、运行时以及录制过扫描的实时状态。
Ui_Action_Refresh	MainWindow.xaml	Text	Refresh	刷新
Ui_Card_Layer_Eyebrow	MainWindow.xaml	Text	OPENXR LAYER	OPENXR 层
Ui_Status_Checking	MainWindow.xaml	Text*	Checking…	检查中…
Ui_Card_Plugin_Eyebrow	MainWindow.xaml	Text	OBS SOURCE	OBS 源
Ui_Card_Runtime_Eyebrow	MainWindow.xaml	Text	OPENXR RUNTIME	OPENXR 运行时
Ui_Card_Overscan_Eyebrow	MainWindow.xaml	Text	OVERSCAN	过扫描
Ui_QuickActions_Eyebrow	MainWindow.xaml	Text	QUICK ACTIONS	快捷操作
Ui_QuickActions_Title	MainWindow.xaml	Text	Capture workflow	采集流程
Ui_QuickActions_Layer	MainWindow.xaml	Text	Layer	层
Ui_Action_OpenObs	MainWindow.xaml	Text	Open OBS	打开 OBS
Ui_Action_OpenObsButton	MainWindow.xaml	Content	Open OBS	打开 OBS
Ui_Action_UseHeadsetRuntime	MainWindow.xaml	Text	Use headset runtime	使用头显运行时
Ui_Action_OpenLayerLog	MainWindow.xaml	Text	Open layer log	打开层日志
Ui_RuntimeMode_Checking	MainWindow.xaml	Title	Checking runtime selection	正在检查运行时选择
Ui_RuntimeMode_Checking	MainWindow.xaml	Message	Reading the effective and system OpenXR runtime settings.	正在读取当前生效的与系统级的 OpenXR 运行时设置。
Ui_Conflict_Title	MainWindow.xaml	Title	An old OBS source copy is taking over	存在旧版 OBS 源正在抢占
Ui_Conflict_Action	MainWindow.xaml	Content	Remove the old copy	移除旧版副本
