key	target	prop	english	zh-CN
Code_Main_UpdateAvailableTitle	MainWindow.xaml.cs	code	Update available — {0}	有可用更新 — {0}
Code_Main_UpdateAvailableYes	MainWindow.xaml.cs	code	Yes, update	是，更新
Code_Main_Later	MainWindow.xaml.cs	code	Later	稍后
Code_Main_UpdateAvailableBody	MainWindow.xaml.cs	code	Version {0} is available (you have {1}).	版本 {0} 已发布（当前版本为 {1}）。
Code_Main_UpdateAvailableAuto	MainWindow.xaml.cs	code	It downloads, installs, and reopens the app automatically.	更新会自动下载、安装并重新打开应用。
Code_Main_DownloadingUpdate	MainWindow.xaml.cs	code	Downloading update {0}	正在下载更新 {0}
Code_Main_InstallingUpdate	MainWindow.xaml.cs	code	Installing update	正在安装更新
Code_Main_UpdateInstallNote	MainWindow.xaml.cs	code	The app closes now and reopens automatically when the update finishes.	应用现在会关闭，更新完成后会自动重新打开。
Code_Main_UpdateFailed	MainWindow.xaml.cs	code	Update failed	更新失败
Code_Main_UpdateFailedBody	MainWindow.xaml.cs	code	{0} You can retry from the dialog on next launch or download it from GitHub Releases.	{0} 可以在下次启动时的对话框中重试，也可从 GitHub Releases 下载。
Code_Main_CouldNotRefreshStatus	MainWindow.xaml.cs	code	Could not refresh status	无法刷新状态
Code_Main_Updating	MainWindow.xaml.cs	code	Updating…	正在更新…
Code_Main_RetryFromInstallationPage	MainWindow.xaml.cs	code	Retry from the Installation page	请在“安装”页面重试
Code_Main_InstallingNewLayerAutomatically	MainWindow.xaml.cs	code	Installing the new layer build automatically	正在自动安装新的层构建
Code_Main_ReleaseFilesNotInstalled	MainWindow.xaml.cs	code	Release files are not installed	发布文件尚未安装
Code_Main_LayerInstalled	MainWindow.xaml.cs	code	Installed • {0}	已安装 • {0}
Code_Main_NotInstalled	MainWindow.xaml.cs	code	Not installed	未安装
Code_Main_Current	MainWindow.xaml.cs	code	Current	已是最新
Code_Main_CloseObsToUpdate	MainWindow.xaml.cs	code	Close OBS to update	关闭 OBS 后更新
Code_Main_PluginUpdateWaitsForObs	MainWindow.xaml.cs	code	OBS is running — the update installs when it closes	OBS 正在运行 — 更新会在其关闭后安装
Code_Main_ObsRunning	MainWindow.xaml.cs	code	OBS is running	OBS 正在运行
Code_Main_ObsNotRunning	MainWindow.xaml.cs	code	OBS is not running	OBS 未运行
Code_Main_ConflictingPluginMessage	MainWindow.xaml.cs	code	OBS is loading a second, older copy of the capture source from {0}. OBS uses whichever copy registers first, so the source can stay blank even though everything here reports as current. Removing the old copy leaves the installed source in place.	OBS 正在从 {0} 加载第二份、更旧的采集源副本。OBS 会使用最先注册的那份副本，因此即使本页所有信息都显示为最新，该源仍可能一直黑屏。移除旧副本后，已安装的源会保留在原位。
Code_Main_SteamVrCaptureAvailable	MainWindow.xaml.cs	code	SteamVR capture is available	可使用 SteamVR 采集
Code_Main_SteamVrCaptureMessage	MainWindow.xaml.cs	code	The automatic OBS source will use SteamVR's native compositor mirror. OpenXR layer controls do not apply to this capture.	自动 OBS 源将使用 SteamVR 原生合成器镜像。OpenXR 层控制不适用于此采集。
Code_Main_VrApiNotCapturable	MainWindow.xaml.cs	code	This VR API is not capturable yet	暂不支持采集此 VR API
Code_Main_VrApiNotCapturableMessage	MainWindow.xaml.cs	code	{0} is running VR through the {1} path, not OpenXR. Switch the application to OpenXR or OpenVR/SteamVR, then start it again.	{0} 正通过 {1} 路径运行 VR，而非 OpenXR。请将该应用切换为 OpenXR 或 OpenVR/SteamVR，然后重新启动。
Code_Main_SimulatorSelected	MainWindow.xaml.cs	code	Simulator selected	已选择模拟器
Code_Main_RestoreRuntimeForHeadset	MainWindow.xaml.cs	code	Restore {0} for a headset	请恢复 {0} 以使用头显
Code_Main_SelectHeadsetRuntime	MainWindow.xaml.cs	code	Select your headset runtime in its desktop software	请在头显配套的桌面软件中选择其运行时
Code_Main_SimulatorOverrideActive	MainWindow.xaml.cs	code	Simulator override is active	模拟器覆盖已生效
Code_Main_SimulatorIsSystemRuntime	MainWindow.xaml.cs	code	Simulator is the system OpenXR runtime	模拟器当前是系统 OpenXR 运行时
Code_Main_SimulatorOverrideMessage	MainWindow.xaml.cs	code	OpenXR applications will bypass the normal headset runtime. Use headset runtime restores {0} and clears the per-user override.	OpenXR 应用将绕过正常的头显运行时。点击“使用头显运行时”会恢复 {0} 并清除每用户覆盖。
Code_Main_SimulatorNotSelectedByApp	MainWindow.xaml.cs	code	The app did not select this runtime. Choose 'Set as active OpenXR runtime' in your headset or SteamVR software before starting an OpenXR application.	本应用未选择此运行时。请在启动 OpenXR 应用前，在头显或 SteamVR 软件中选择“设为活动的 OpenXR 运行时”。
Code_Main_NoRuntimeConfigured	MainWindow.xaml.cs	code	No OpenXR runtime is configured	未配置 OpenXR 运行时
Code_Main_NoRuntimeConfiguredMessage	MainWindow.xaml.cs	code	Set your headset software as the active OpenXR runtime, then refresh this page.	请将头显软件设为活动的 OpenXR 运行时，然后刷新此页面。
Code_Main_HeadsetRuntimeSelected	MainWindow.xaml.cs	code	Headset runtime selected	已选择头显运行时
Code_Main_HeadsetRuntimeSelectedMessage	MainWindow.xaml.cs	code	OpenXR applications will use {0}. Simulator testing is optional and isolated under Installation.	OpenXR 应用将使用 {0}。模拟器测试是可选的，且仅在“安装”页面中提供。
Code_Main_HeadsetNativeFov	MainWindow.xaml.cs	code	Headset-native FOV	头显原生 FOV
Code_Main_InstallObsSource	MainWindow.xaml.cs	code	Install the OBS source	请安装 OBS 源
Code_Main_ObsSourceSaveNowNotEffective	MainWindow.xaml.cs	code	The values can be saved now, but the OBS source must be installed before they can take effect.	现在可以保存这些数值，但必须先安装 OBS 源才能生效。
Code_Main_SourceUpdateRequired	MainWindow.xaml.cs	code	Source update required	需要更新源
Code_Main_ObsSourceUpdateNote	MainWindow.xaml.cs	code	The values can be saved now. Install the available source update and restart OBS to enable live control.	现在可以保存这些数值。安装可用的源更新并重启 OBS 后即可实时控制。
Code_Main_InstallOpenXrLayer	MainWindow.xaml.cs	code	Install the OpenXR layer	请安装 OpenXR 层
Code_Main_LayerSaveNowNotEffective	MainWindow.xaml.cs	code	The preference can be saved now, but the updated layer must be installed before it can filter the recording.	现在可以保存该偏好设置，但必须先安装更新后的层，才能过滤录制画面。
Code_Main_LayerUpdateRequired	MainWindow.xaml.cs	code	Layer update required	需要更新层
Code_Main_LayerUpdateNote	MainWindow.xaml.cs	code	Save the preference now, then install the available layer update and restart the VR application once.	现在即可保存该偏好设置，然后安装可用的层更新并重启一次 VR 应用。
Code_Main_LayerInstalledDisabled	MainWindow.xaml.cs	code	Installed, disabled	已安装，已禁用
Code_Main_LayerInstalledEnabled	MainWindow.xaml.cs	code	Installed and enabled	已安装并启用
Code_Main_InstalledUpdatePending	MainWindow.xaml.cs	code	Installed, update pending (automatic)	已安装，等待更新（自动）
Code_Main_PluginInstalledCurrent	MainWindow.xaml.cs	code	Installed and current	已安装且为最新
Code_Main_PluginUpdateWaitingForObs	MainWindow.xaml.cs	code	Installed, update waiting for OBS to close	已安装，等待 OBS 关闭后更新
Code_Main_SystemDefault	MainWindow.xaml.cs	code	System default: {0} — {1}	系统默认：{0} — {1}
Code_Main_DiagnosticLayerHash	MainWindow.xaml.cs	code	Layer   {0}	层   {0}
Code_Main_DiagnosticPluginHash	MainWindow.xaml.cs	code	Plugin  {0}	插件  {0}
Code_Main_CouldNotSaveOverscan	MainWindow.xaml.cs	code	Could not save overscan	无法保存过扫描设置
Code_Main_ReasonOverscanChange	MainWindow.xaml.cs	code	the overscan change	过扫描改动
Code_Main_ScaleSummary	MainWindow.xaml.cs	code	{0:0.00}× horizontal  •  {1:0.00}× vertical	{0:0.00}× 水平  •  {1:0.00}× 垂直
Code_Main_FrameShapeKnown	MainWindow.xaml.cs	code	{0:0.00} : 1 per eye, from the runtime's {1} × {2} ({3:0.00} : 1). The application's own render scale multiplies both axes, so the shape holds.	单眼 {0:0.00} : 1，来自运行时推荐的 {1} × {2}（{3:0.00} : 1）。应用自身的渲染缩放会同时作用于两个轴，因此画幅比例保持不变。
Code_Main_FrameShapeUnknown	MainWindow.xaml.cs	code	relative to the runtime's recommended per-eye size. Run a VR application once and this will show the recording's real pixel size and shape.	相对于运行时推荐的单眼尺寸。运行一次 VR 应用后，这里会显示录制画面的实际像素尺寸与画幅比例。
Code_Main_WidestShapeTitle	MainWindow.xaml.cs	code	As wide as this build allows	已达此版本允许的最宽画幅
Code_Main_WidestShapeLimited	MainWindow.xaml.cs	code	A {0:0.00} : 1 frame needs more than {1}% horizontal expansion from this headset's {2:0.00} : 1 per-eye render. The sliders are set to the widest reachable shape, {3:0.00} : 1.	要得到 {0:0.00} : 1 的画幅，需要在这款头显 {2:0.00} : 1 的单眼渲染基础上增加超过 {1}% 的水平扩展。滑块已设置为可达到的最宽画幅 {3:0.00} : 1。
Code_Main_RunningVrApp	MainWindow.xaml.cs	code	the running VR app	正在运行的 VR 应用
